分類・題名,Jse,言語,ラベル,種類,資料保管・問合,訂正開始,訂正担当,訂正終了,アップ担当,top fieldid,document fieldid,説明文,Sequence
Bachelor of Law,３年次編入,日本語,Transfer,url,教務係,1,教務係,2,ネットワーク管理室,32492878,32492880,forms/gakubu/transfer/japanese,30
ASCI LL.D. Application,,English,Information,url,ASCI 事務室,2,ASCI 事務室,3,ASCI 事務室,32492510,32492514,forms/asci/doctorate/info/english,5
ASCI LL.D. Application,,English,Application,document,ASCI 事務室,2,ASCI 事務室,3,ASCI 事務室,32492494,32492500,forms/asci/doctorate/english,6
GSL Student Handbook,,English,Download,document,留学生相談室,3,留学生相談室,4,留学生相談室,32492426,32492432,documents/gsl-handbook,1
Living in Nagoya,,English,Information,webpage,留学生相談室,3,留学生相談室,4,留学生相談室,32492424,32492434,documents/living-in-nagoya,2
Prospectus,,English,Download,document,留学生相談室,3,留学生相談室,4,留学生相談室,32492452,32492460,documents/prospectus,3
Leading Program LL.D.,,English,Information,url,,,,5,英語ウェブ管理者,32492940,32492946,forms/leading/doctorate/english,25
Leading Program LL.M.,,English,Information,url,,,,5,英語ウェブ管理者,32492956,32492962,forms/leading/masters/english,26
Global 30 Program (B.A.),,English,Information,url,全学G30入試事務室,5,G30 入試委員会,6,G30 入試委員会,32492834,32492836,forms/g30/undergraduate/english,22
Global 30 Program (B.A.),,English,Scholarships,url,全学G30入試事務室,5,G30 入試委員会,6,G30 入試委員会,32492818,32492820,forms/g30/scholarships/english,23
Drafting a Proposal,,English,Information,webpage,AWグループ,6,AWグループ,7,AWグループ,32492436,32492448,documents/proposals,0
Exchange Programs,,English,"Information
Campus Asia",url,Campus Asia,6,Campus Asia,7,法政国際教育協力研究センター,32492758,32492762,forms/exchange/campus-asia/english,19
Comparative Law LL.D.,,English,JDS,webpage,留学生相談室,6,留学生相談室,7,留学生相談室,32492606,32492612,forms/comparative-law/doctorate/jds/english,10
Comparative Law LL.D.,,English,Embassy MEXT,webpage,留学生相談室,6,留学生相談室,7,留学生相談室,32492576,32492582,forms/comparative-law/doctorate/embassy-mext/english,11
Comparative Law LL.M.,,English,JDS,webpage,留学生相談室,6,留学生相談室,7,留学生相談室,32394578,32492708,forms/comparative-law/masters/jds/english,16
Comparative Law LL.M.,,English,Embassy MEXT,webpage,留学生相談室,6,留学生相談室,7,留学生相談室,32394556,32394562,forms/comparative-law/masters/embassy-mext/english,17
Exchange Programs,,English,"Application
Partner Exchange",url,留学生相談室,6,留学生相談室,7,ネットワーク管理室,32492776,32492780,forms/exchange/gsl/english-japanese,20
Research Student,,English,"Application
Postgraduates",document,教務係,6,国際法政専門委員会,7,留学生相談室,32394618,32493014,forms/research-student/postgraduate/english,27
Research Student,,English,"Application
Undergraduates",document,教務係,6,国際法政専門委員会,7,留学生相談室,32394620,32493038,forms/research-student/undergraduate/english,28
Comparative Law LL.D.,,日本語,Embassy MEXT,webpage,国際法政専門委員会,6,留学生相談室,7,留学生相談室,32492588,32492592,forms/comparative-law/doctorate/embassy-mext/japanese,34
Comparative Law LL.M.,,日本語,Embassy MEXT,webpage,国際法政専門委員会,6,留学生相談室,7,留学生相談室,32394568,32394574,forms/comparative-law/masters/embassy-mext/japanese,38
Exchange Programs,,日本語,"Application
Partner Exchange",url,国際法政専門委員会,6,留学生相談室,7,ネットワーク管理室,32492776,32492780,forms/exchange/gsl/english-japanese,40
Comparative Law LL.D.,,English,"Link
China Scholarship",url,教務係,6,英語ウェブ管理者,7,英語ウェブ管理者,32492546,32492550,forms/comparative-law/doctorate/china/english,12
Writing Guide,,English,Download,document,AWグループ,7,AWグループ,8,AWグループ,32492456,32492462,documents/writing-guide,4
Comparative Law LL.D.,,English,"General Application
April entry",url,教務係,7,大学院入試委員会,8,ネットワーク管理室,32492524,32492530,forms/comparative-law/doctorate/april-entry/english,8
Comparative Law LL.M.,,English,"General Application
April entry",url,教務係,7,大学院入試委員会,8,ネットワーク管理室,32394552,32394558,forms/comparative-law/masters/april-entry/english,13
